pong,atencion,2
cuant,represent,2
represent,dibuj,2
dibuj,si,2
si,pictogram,2
pictogram,hac,1
hac,tod,2
rap,qued,2
qued,10,2
10,minut,2
minut,sal,2
sal,si,2
si,termin,2
buen,bien,2
bien,si,2
si,asi,2
sal,termin,2
termin,much,1
much,7,2
buen,mal,4
mal,algun,2
algun,com,2
com,buen,1
mal,mism,1
mism,trabaj,2
trabaj,ahor,2
ahor,profesor,2
profesor,dec,1
dec,hic,2
hic,trabaj,2
trabaj,dos,2
dos,val,1
val,buen,1
buen,trabaj,2
trabaj,termin,1
termin,mejor,1
mejor,ver,2
ver,dos,2
dos,trabaj,1
trabaj,qued,2
qued,chic,1
chic,inform,2
inform,quien,2
quien,pued,4
pued,part,2
part,profesor,2
profesor,ver,2
ver,com,3
com,ejempl,2
ejempl,ver,2
ver,pued,1
pued,inform,8
inform,ejempl,2
ejempl,encuest,1
curs,aplic,2
encuest,cas,2
cas,mism,2
mism,inform,2
inform,ver,2
ver,asi,1
asi,ahor,2
ahor,mism,1
mism,pued,2
pued,tod,2
tod,leer,1
leer,aqu,2
aqu,dij,2
dij,pued,2
algui,aplic,2
quien,inform,2
inform,pued,3
pued,com,2
com,ver,3
ver,quien,2
quien,usted,2
usted,pued,2
pued,ver,4
ver,aca,1
aca,form,2
form,com,2
com,curs,2
curs,mir,1
mir,entiend,2
entiend,pregunt,2
pregunt,chic,2
chic,respond,2
respond,aqu,2
aqu,pod,2
pod,pued,1
pued,lug,4
lug,quien,2
lug,vot,2
vot,ver,2
ver,hac,1
curs,sab,2
sab,dond,2
dond,realiz,2
realiz,quien,2
quien,ver,4
ver,buen,2
buen,quien,2
ver,termin,2
termin,ver,2
ver,lug,2
lug,dond,2
ver,hic,1
hic,profesor,2
profesor,sab,1
sab,ver,2
quien,primer,2
primer,voy,1
ver,ejempl,2
ejempl,si,2
algui,coloc,2
algun,lug,2
lug,pued,1
dond,si,2
si,dond,2
coloc,inform,2
inform,coloc,2
coloc,chic,1
chic,termin,2
termin,pued,2
pued,sal,2
